"number","title","mergedAt","url","mergeCommit","changedFiles","labels","files","closingIssues"
"408","Implement versioned funnel plugin manifest with Zod validation and patient flow integration (V05-I02.2)","2026-01-01T10:59:29Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/408","8dfb6d1818a12a908bcec3e3625bb4ddc6f84288","13","","app/patient/funnel/[slug]/intro/client.tsx;app/patient/funnel/[slug]/intro/page.tsx;app/patient/funnel/__tests__/manifestIntegration.test.ts;docs/canon/CONTRACTS.md;docs/V05_I02_2_IMPLEMENTATION_SUMMARY.md;docs/V05_I02_2_PATIENT_FLOW_INTEGRATION.md;lib/audit/log.ts;lib/contracts/__tests__/funnelManifest.test.ts;lib/contracts/funnelManifest.ts;lib/funnels/__tests__/loadFunnelVersion.test.ts;lib/funnels/loadFunnelVersion.ts;lib/types/supabase.ts;supabase/migrations/20260101100200_v05_i02_2_plugin_manifest_constraints.sql","354"
"409","Add 3 cardiovascular health funnels to catalog with versioned manifests","2026-01-01T11:35:16Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/409","c64344c5d72614029192df9a6a4c070c2b984fa5","9","","DEPLOYMENT_VERIFICATION_V05_I02_3.md;docs/canon/CONTRACTS.md;docs/V05_I02_3_IMPLEMENTATION_SUMMARY.md;EXPECTED_UI_CATALOG.txt;lib/contracts/__tests__/newFunnels.test.ts;lib/contracts/registry.ts;supabase/migrations/20260101110320_v05_i02_3_additional_funnels.sql;tools/mockCatalogVisualization.ts;V05_I02_3_VALIDATION_EVIDENCE.md","355"
"410","Implement patient onboarding flow with consent capture and baseline profile","2026-01-01T12:29:57Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/410","a825d5281af37dfef2ab835319c62eec80a52b51","17","","app/clinician/patient/[id]/PatientOverviewHeader.tsx;app/patient/assessment/page.tsx;app/patient/onboarding/consent/client.tsx;app/patient/onboarding/consent/page.tsx;app/patient/onboarding/profile/client.tsx;app/patient/onboarding/profile/page.tsx;app/patient/page.tsx;docs/V05_I03_1_DB_GATES_EVIDENCE.md;docs/V05_I03_1_EVIDENCE.md;docs/V05_I03_1_IMPLEMENTATION.md;docs/V05_I03_1_MERGE_CHECKLIST.md;docs/V05_I03_1_TESTING_GUIDE.md;lib/actions/onboarding.ts;lib/audit/log.ts;lib/contracts/__tests__/onboarding.test.ts;lib/contracts/onboarding.ts;lib/contracts/registry.ts","357"
"411","Harden /api/funnels/catalog (no more 500s)","2026-01-01T12:43:32Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/411","09a0f51fb366971bcf197f0bec94481874c24be9","6","","app/api/funnels/catalog/__tests__/route.test.ts;app/api/funnels/catalog/route.ts;docs/canon/CONTRACTS.md;docs/V05_I02_3_CATALOG_500_FIX.md;lib/api/responses.ts;lib/api/responseTypes.ts",""
"412","Harden /api/admin/funnels for v0.5 (no blind 500)","2026-01-01T16:08:19Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/412","552875ffc0517ac44c6c48a7c98b48e77d797644","4","","app/api/admin/funnels/__tests__/route.test.ts;app/api/admin/funnels/route.ts;app/clinician/funnels/page.tsx;docs/canon/CONTRACTS.md",""
"413","Fix /api/funnels/catalog pillars error mapping","2026-01-01T16:35:54Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/413","436ba5a123bb2b6d7cd1f692038401fd1adf9e27","2","","app/api/funnels/catalog/__tests__/route.test.ts;app/api/funnels/catalog/route.ts",""
"414","Fix catalog pillars errors + admin funnels schema-cache mapping","2026-01-01T16:46:45Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/414","ef49fc1b3060cfb3a9eb59cdd46fa4f1d5e55bc0","2","","app/api/admin/funnels/__tests__/route.test.ts;app/api/admin/funnels/route.ts",""
"416","V05-HYGIENE: Canonical DB access patterns + hard guardrails","2026-01-01T18:38:29Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/416","b2b968424398548ec0d9ef7483344c12d37b5c6d","25","",".github/workflows/db-access-verification.yml;app/api/funnels/catalog/__tests__/route.test.ts;app/api/funnels/catalog/route.ts;docs/canon/DB_ACCESS_DECISION.md;docs/canon/DB_ACCESS_EVIDENCE.md;docs/canon/DB_ACCESS_GUARDRAILS.md;docs/canon/DB_ACCESS_IMPLEMENTATION.md;docs/canon/DB_ACCESS_MATRIX.md;docs/canon/DB_ACCESS_PATTERNS.md;docs/canon/DB_ACCESS_REVIEW_FIXES.md;eslint.config.mjs;jest.config.js;lib/__tests__/funnelHelpers.test.ts;lib/db/errors.ts;lib/db/supabase.admin.ts;lib/db/supabase.public.ts;lib/db/supabase.server.ts;lib/funnelHelpers.ts;lib/supabaseClient.ts;lib/supabaseServer.ts;package.json;package-lock.json;scripts/db/audit-db-access.js;scripts/db/verify-db-access.js;test/__mocks__/server-only.ts","415"
"420","Standardize admin funnel API routes to canonical DB client patterns","2026-01-01T19:26:29Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/420","450df5f330c5384cee73f4c298e5758b187313a0","8","","app/api/admin/funnels/[id]/route.ts;app/api/admin/funnels/__tests__/route.test.ts;app/api/admin/funnels/route.ts;app/api/admin/funnel-step-questions/[id]/route.ts;app/api/admin/funnel-steps/[id]/route.ts;app/api/admin/funnel-steps/route.ts;IMPLEMENTATION_V05_HYGIENE_A.md;scripts/db/verify-db-access.js","417"
"421","Migrate patient/clinician funnel surfaces to canonical DB clients","2026-01-01T21:48:47Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/421","3e8dde40e649ea6b5b2901820c0914924d3660b6","9","","app/api/funnels/catalog/[slug]/__tests__/route.test.ts;app/api/funnels/catalog/[slug]/route.ts;app/patient/funnel/[slug]/content/[pageSlug]/page.tsx;app/patient/funnel/[slug]/intro/page.tsx;app/patient/funnel/[slug]/page.tsx;app/patient/funnel/[slug]/result/page.tsx;app/patient/funnels/page.tsx;IMPLEMENTATION_V05_HYGIENE_B.md;lib/types/catalog.ts","418"
"422","Migrate all DB access to canonical factories, eliminate 36 violations","2026-01-02T08:55:39Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/422","4d8333f7c787d512292601a350089f8d1c17b6ad","20","","app/api/admin/content-pages/[id]/route.ts;app/api/admin/content-pages/[id]/sections/[sectionId]/route.ts;app/api/admin/content-pages/[id]/sections/route.ts;app/api/admin/content-pages/route.ts;app/api/amy/stress-report/route.ts;app/api/assessment-answers/save/route.ts;app/api/consent/record/route.ts;app/api/consent/status/route.ts;app/api/content-pages/[slug]/route.ts;app/api/funnels/[slug]/content-pages/route.ts;app/api/funnels/[slug]/definition/route.ts;app/api/patient-measures/export/route.ts;app/api/patient-measures/history/route.ts;docs/canon/DB_ACCESS_MATRIX.md;docs/canon/DB_ACCESS_PATTERNS.md;lib/actions/onboarding.ts;lib/api/authHelpers.ts;lib/validation/requiredQuestions.ts;proxy.ts;scripts/db/verify-db-access.js","419"
"424","TV05-CLEANUP & AUDIT: Repo cleanup audit with issue mapping and prioritized backlog","2026-01-02T10:01:33Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/424","40a9f2b1e011d2958816924f33f8d272b95f9d4d","6","","docs/CLEANUP_AUDIT_README.md;docs/TV05_CLEANUP_AUDIT_ISSUE_MAP.md;docs/TV05_CLEANUP_AUDIT_UNUSED.md;docs/TV05_CLEANUP_BACKLOG.md;docs/TV05_CLEANUP_IMPLEMENTATION_SUMMARY.md;scripts/tv05-cleanup-audit.ps1","423"
"426","Add PHI-free runtime usage telemetry for API route cleanup audits","2026-01-02T12:46:57Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/426","7d141dd82aa551156476cd7beebd8b0822d4d050","14","",".gitignore;app/api/admin/usage/__tests__/route.test.ts;app/api/admin/usage/route.ts;app/api/amy/stress-report/route.ts;app/api/amy/stress-summary/route.ts;app/api/consent/record/route.ts;app/api/content/resolve/route.ts;docs/USAGE_TELEMETRY.md;lib/monitoring/__tests__/usageTracker.test.ts;lib/monitoring/usageTracker.ts;lib/monitoring/usageTrackingWrapper.ts;scripts/verify-usage-telemetry.ps1;TV05_01_IMPLEMENTATION_SUMMARY.md;TV05_01_VERIFICATION_EVIDENCE.md","425"
"432","Add PHI-free diagnostics endpoint for pillar/catalog source-of-truth audit with secure RPC and status codes","2026-01-02T14:31:58Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/432","277af97063869ca8c6e0b763833e4e0b122a6baa","9","","app/api/admin/diagnostics/pillars-sot/__tests__/route.test.ts;app/api/admin/diagnostics/pillars-sot/route.ts;app/api/admin/funnels/[id]/__tests__/route.test.ts;docs/PILLARS_SOT_AUDIT.md;lib/env.ts;lib/types/supabase.ts;scripts/verify-pillars-sot-audit.ps1;supabase/migrations/20260102140000_create_diagnostics_pillars_sot_function.sql;TV05_01B_IMPLEMENTATION.md","431"
"435","Unify admin/clinician funnels API to use catalog v2 model","2026-01-02T15:42:08Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/435","4ad2749f8281123f6533020ea519520205885ef7","21","",".githooks/pre-push;.gitignore;app/api/admin/content-pages/route.ts;app/api/admin/funnels/[id]/__tests__/route.test.ts;app/api/admin/funnels/[id]/route.ts;app/api/amy/stress-report/route.ts;app/api/amy/stress-summary/route.ts;app/api/funnels/[slug]/definition/route.ts;app/clinician/funnels/[id]/page.tsx;app/clinician/funnels/page.tsx;app/components/ContentPageEditor.tsx;app/components/SliderAnswerComponent.tsx;app/content/[slug]/page.tsx;eslint.config.mjs;lib/env.ts;lib/funnels/loadFunnelVersion.ts;lib/monitoring/usageTrackingWrapper.ts;package.json;README.md;tools/install-git-hooks.mjs;tools/lint-changed-lines.mjs","433"
"436","Add Program Tier Contract system for tier-driven patient journeys","2026-01-02T16:35:38Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/436","fe24897a4d7d4dcf97853dae5119d8297ad67bac","15","","app/api/funnels/catalog/__tests__/catalog.test.ts;app/api/funnels/catalog/route.ts;app/patient/funnel/__tests__/manifestIntegration.test.ts;docs/PROGRAM_TIER_CONTRACT.md;lib/contracts/__tests__/registry.test.ts;lib/contracts/programTier.ts;lib/contracts/registry.ts;lib/contracts/tiers/__tests__/programTier.test.ts;lib/contracts/tiers/index.ts;lib/contracts/tiers/tier1-essential.ts;lib/contracts/tiers/tier2-5-enhanced.ts;lib/contracts/tiers/tier2-comprehensive.ts;lib/db/supabase.public.ts;TV05_01D_IMPLEMENTATION_SUMMARY.md;TV05_01D_VERIFICATION.md","434"
"437","Add External Client Registry and Usage Telemetry Toggle","2026-01-02T18:37:20Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/437","49daff34b184a9b347a9364f3c4b1d6617159c20","12","",".env.example;app/api/admin/usage/__tests__/route.test.ts;app/api/admin/usage/route.ts;docs/API_ROUTE_OWNERSHIP.md;docs/CLEANUP_AUDIT_README.md;docs/EXTERNAL_CLIENTS.md;docs/TV05_02_IMPLEMENTATION.md;lib/env.ts;lib/monitoring/__tests__/config.test.ts;lib/monitoring/__tests__/usageTracker.test.ts;lib/monitoring/config.ts;lib/monitoring/usageTracker.ts","427"
"438","[WIP] Add environment self-check endpoint for health verification","2026-01-02T18:40:34Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/438","32f641f775a846752e45cb6646346e7c545e562c","0","","","428"
"440","Add environment self-check endpoint with fail-safe diagnostics","2026-01-02T19:33:00Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/440","53d7d955740bf55f7d06601cddae72007d7c183d","78","","app/api/health/env/__tests__/route.test.ts;app/api/health/env/route.ts;docs/API_ROUTE_OWNERSHIP.md;docs/ARCHITECTURE_V0_4.md;docs/CLEANUP_AUDIT_README.md;docs/CLINICIAN_DASHBOARD_CONCEPT.md;docs/CONTENT_PAGE_RENDERER_IMPROVEMENT.md;docs/CONTENT_PAGE_RENDERER_VISUAL_COMPARISON.md;docs/DB_DETERMINISM_CI_FLOW.md;docs/DEPRECATED_COMPONENTS.md;docs/DESIGN_MOCKUP_BRIEFING.md;docs/DESIGN_SYSTEM_COMPONENTS_SUMMARY.md;docs/EXTERNAL_CLIENTS.md;docs/HEALTHCHECK_QUICKSTART.md;docs/I503_ACCEPTANCE_VERIFICATION.md;docs/I503_IMPLEMENTATION_SUMMARY.md;docs/I505_IMPLEMENTATION_SUMMARY.md;docs/IMPLEMENTATION_EXAMPLE.md;docs/LAYOUT_STANDARDS.md;docs/LOGGING_EXAMPLES.md;docs/LOGGING_PATTERNS.md;docs/MIGRATIONS_RESET_PLAYBOOK.md;docs/MOBILE_COMPONENTS_SSoT.md;docs/MOBILE_FUNNEL_SELECTOR.md;docs/MOBILE_FUNNEL_SELECTOR_VISUAL.md;docs/MONITORING_INTEGRATION.md;docs/NAVIGATION_ARCHITECTURE.md;docs/PATIENT_DETAIL_PAGE_UI_STRUCTURE.md;docs/PATIENT_DETAIL_PAGE_V0_4.md;docs/PATIENT_FLOW_RENDERER_IMPLEMENTATION.md;docs/PATIENT_FLOW_V2_DIAGRAM.md;docs/PATIENT_FLOW_V2_STRUCTURE.md;docs/PATIENT_MOBILE_UI_VERIFICATION.md;docs/PILLARS_SOT_AUDIT.md;docs/PLAN.md;docs/POWERSHELL_MIGRATION_SUMMARY.md;docs/PROGRAM_TIER_CONTRACT.md;docs/ROLE_BASED_ROUTING_TESTING.md;docs/ROLE_BASED_ROUTING_V2.md;docs/TV05_02_IMPLEMENTATION.md;docs/TV05_03_HEALTHCHECK_IMPLEMENTATION.md;docs/TV05_CLEANUP_AUDIT_ISSUE_MAP.md;docs/TV05_CLEANUP_AUDIT_UNUSED.md;docs/TV05_CLEANUP_BACKLOG.md;docs/TV05_CLEANUP_IMPLEMENTATION_SUMMARY.md;docs/UI_COMPONENT_MIGRATION_STATUS.md;docs/USAGE_TELEMETRY.md;docs/V0_4_DESIGN_SYSTEM.md;docs/V0_4_DESIGN_TOKENS.md;docs/V0_4_E1_IMPLEMENTATION_SUMMARY.md;docs/V0_4_E2_PATIENT_FLOW_V2.md;docs/V0_4_E2_UI_DESIGN_IMPLEMENTATION.md;docs/V0_4_E3_CONTENT_FLOW_ENGINE.md;docs/V0_4_E4_CLINICIAN_DASHBOARD_V2.md;docs/V0_4_E4_LAYOUT_DIAGRAM.md;docs/V0_4_E4_SUMMARY.md;docs/V0_4_FULL_PLAN_GITHUB.md;docs/V0_4_GLOBAL_LAYOUT_IMPLEMENTATION.md;docs/V0_4_MOBILE_CONTENT_PAGE.md;docs/V0_4_MOBILE_QUESTION_SCREEN.md;docs/V05_I01_1_CONSTRAINTS_EVIDENCE.md;docs/V05_I01_3_VERSIONING_EVIDENCE.md;docs/V05_I02_1_CATALOG_IMPLEMENTATION.md;docs/V05_I02_1_SCHEMA_VERIFICATION.md;docs/V05_I02_1_VISUAL_EVIDENCE.md;docs/V05_I02_2_IMPLEMENTATION_SUMMARY.md;docs/V05_I02_2_PATIENT_FLOW_INTEGRATION.md;docs/V05_I02_3_CATALOG_500_FIX.md;docs/V05_I02_3_IMPLEMENTATION_SUMMARY.md;docs/V05_I03_1_DB_GATES_EVIDENCE.md;docs/V05_I03_1_EVIDENCE.md;docs/V05_I03_1_IMPLEMENTATION.md;docs/V05_I03_1_MERGE_CHECKLIST.md;docs/V05_I03_1_TESTING_GUIDE.md;docs/V05_RLS_EVIDENCE.md;docs/V05_SCHEMA_EVIDENCE.md;docs/Z4_EXECUTIVE_SUMMARY_V0.3.md;scripts/verify-healthcheck.ps1","439"
"441","Add ESLint changed-files gate with robust SHA validation and debt tracking policy","2026-01-02T21:13:00Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/441","33c51502f39b7181bec929cbff6554ddbfea0fca","2","",".github/workflows/lint-gate.yml;docs/LINT_POLICY.md","429"
"442","Add V05 Milestones & Critical Path planning document (evidence-based)","2026-01-02T21:34:17Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/442","2dbbb18dff9e13e4e452c48929d635646a16a6f6","1","","docs/V05_MILESTONES_CRITICAL_PATH.md","430"
"443","Implement adaptive questionnaire engine with conditional logic (V05-I03.2)","2026-01-03T05:45:28Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/443","e276f6e7f99fae2b005f159ccd6a8be975403447","13","","lib/questionnaire/__tests__/conditionalLogic.test.ts;lib/questionnaire/__tests__/QuestionnaireRunner.test.ts;lib/questionnaire/__tests__/QuestionRenderer.test.ts;lib/questionnaire/__tests__/stateMachine.test.ts;lib/questionnaire/conditionalLogic.ts;lib/questionnaire/examples/stressAssessment.tsx;lib/questionnaire/MANIFEST_WIRING.md;lib/questionnaire/QuestionnaireRunner.tsx;lib/questionnaire/QuestionRenderer.tsx;lib/questionnaire/README.md;lib/questionnaire/stateMachine.ts;V05_I03_2_IMPLEMENTATION_SUMMARY.md;V05_I03_2_MERGE_READY.md","358"
"444","Implement save/resume with current_step_id persistence and fail-closed security for questionnaire runs","2026-01-03T06:26:53Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/444","5d57233fae94f94fd585ea42e29e6c1e1e4d7500","7","","app/api/funnels/[slug]/assessments/[assessmentId]/answers/save/route.ts;app/api/funnels/[slug]/assessments/[assessmentId]/steps/[stepId]/route.ts;app/api/funnels/__tests__/hardening.test.ts;app/api/funnels/__tests__/save-resume.test.ts;MANUAL_TEST_V05_I03_3.md;V05_I03_3_HARDENING_SUMMARY.md;V05_I03_3_IMPLEMENTATION_SUMMARY.md","359"
"445","V05-I03.4: Add report library and key outcomes to result screen","2026-01-03T07:43:50Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/445","d206806879c148b282656f08548146544b51cdf2","9","","app/patient/funnel/[slug]/result/client.tsx;app/patient/funnel/[slug]/result/components/index.ts;app/patient/funnel/[slug]/result/components/KeyOutcomesCard.tsx;app/patient/funnel/[slug]/result/components/ReportLibrary.tsx;app/patient/funnel/[slug]/result/page.tsx;lib/db/queries/__tests__/reports.test.ts;lib/db/queries/reports.ts;V05_I03_4_IMPLEMENTATION_SUMMARY.md;V05_I03_4_SCHEMA_VERIFICATION.md","360"
"446","Implement document upload with hardened storage, RLS, and parsing status state machine","2026-01-03T11:11:01Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/446","471568628c6fa7408620f27feb96ba367a10578c","12","","app/api/documents/[id]/status/route.ts;app/api/documents/upload/__tests__/route.test.ts;app/api/documents/upload/route.ts;docs/DOCUMENT_UPLOAD.md;lib/api/responses.ts;lib/api/responseTypes.ts;lib/documents/__tests__/helpers.test.ts;lib/documents/helpers.ts;lib/types/documents.ts;scripts/db/verify-db-access.js;supabase/migrations/20260103075000_create_documents_storage_bucket.sql;V05_I04_1_IMPLEMENTATION_SUMMARY.md","362"
"447","fix(hydration): stabilize mobile/theme initial render","2026-01-03T11:24:00Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/447","9e33708b09543a199040b666719f20d8422b2c6f","2","","lib/contexts/ThemeContext.tsx;lib/hooks/useIsMobile.ts",""
"449","V05-FIXOPT-01: Fix patient landing, catalog availability, and 404 handling for incomplete funnels","2026-01-03T12:54:23Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/449","a96916023ee4b6b93c60b9f17096f587fee7d58e","14","","app/api/funnels/[slug]/content-pages/route.ts;app/api/funnels/catalog/__tests__/route.test.ts;app/api/funnels/catalog/route.ts;app/components/FunnelCard.tsx;app/patient/assessment/page.tsx;app/patient/funnel/[slug]/client.tsx;app/patient/funnels/client.tsx;app/patient/funnels/page.tsx;app/patient/page.tsx;lib/types/__tests__/catalog.test.ts;lib/types/catalog.ts;package.json;package-lock.json;V05_FIXOPT_01_IMPLEMENTATION.md","448"
"450","V05-I04.2: AI extraction pipeline with versioned, idempotent document processing","2026-01-03T14:24:58Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/450","7b9f919bfa49e94c6192c44b573c143773ded92a","12","",".github/workflows/db-determinism.yml;app/api/documents/[id]/extract/route.ts;docs/DOCUMENT_EXTRACTION.md;lib/contracts/registry.ts;lib/extraction/__tests__/pipeline.test.ts;lib/extraction/pipeline.ts;lib/types/extraction.ts;lib/types/supabase.ts;scripts/lint-new-migrations-idempotency.sh;scripts/verify-extraction-pipeline.ps1;supabase/migrations/20260103130600_add_extraction_pipeline_fields.sql;V05_I04_2_IMPLEMENTATION_SUMMARY.md","363"
"451","Fix missing content endpoints + result handling","2026-01-03T13:18:40Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/451","cced9e04dcfe2eeca25bd0df78eb57dfc67f0aea","8","","app/api/content/resolve/__tests__/route.test.ts;app/api/content/resolve/route.ts;app/api/funnels/[slug]/assessments/[assessmentId]/result/route.ts;app/api/funnels/[slug]/content-pages/route.ts;app/patient/funnel/[slug]/intro/client.tsx;app/patient/funnel/[slug]/result/client.tsx;app/patient/funnel/[slug]/result/page.tsx;lib/utils/contentResolver.ts",""
"452","Fix markdown table overflow","2026-01-03T13:31:00Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/452","04362c4f597d0b69b3fafd11bf5bf462ef91504b","2","","app/api/funnels/[slug]/content-pages/__tests__/route.test.ts;app/components/MarkdownRenderer.tsx",""
"453","Fix intro missing-content card width","2026-01-03T13:36:31Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/453","44cfa78d93cc50cd2e7f640f808885236cf8dd25","1","","app/patient/funnel/[slug]/intro/client.tsx",""
